ts,track_id,side,x,y,conf,source
1780885444.282,1,L,645.5,418.4,0.100,predicted
1780885444.282,1,R,401.1,566.1,0.100,predicted
1780885444.326,1,L,645.5,418.4,0.100,predicted
1780885444.326,1,R,401.1,566.1,0.100,predicted
1780885444.362,1,L,645.5,418.4,0.100,predicted
1780885444.362,1,R,401.1,566.1,0.100,predicted
1780885444.400,1,L,645.5,418.4,0.100,predicted
1780885444.400,1,R,401.1,566.1,0.100,predicted
1780885444.436,1,L,645.5,418.4,0.100,predicted
1780885444.436,1,R,401.1,566.1,0.100,predicted
1780885444.475,1,L,645.5,418.4,0.100,predicted
1780885444.475,1,R,401.1,566.1,0.100,predicted
1780885444.517,1,L,645.5,418.4,0.100,predicted
1780885444.517,1,R,401.1,566.1,0.100,predicted
1780885444.551,1,L,645.5,418.4,0.100,predicted
1780885444.551,1,R,401.1,566.1,0.100,predicted
1780885444.585,1,L,645.5,418.4,0.100,predicted
1780885444.585,1,R,401.1,566.1,0.100,predicted
1780885444.619,1,L,645.5,418.4,0.100,predicted
1780885444.619,1,R,401.1,566.1,0.100,predicted
1780885444.657,1,L,645.5,418.4,0.100,predicted
1780885444.657,1,R,401.1,566.1,0.100,predicted
1780885444.688,1,L,645.5,418.4,0.100,predicted
1780885444.688,1,R,401.1,566.1,0.100,predicted
1780885444.721,1,L,645.5,418.4,0.100,predicted
1780885444.721,1,R,401.1,566.1,0.100,predicted
1780885444.754,1,L,645.5,418.4,0.100,predicted
1780885444.754,1,R,401.1,566.1,0.100,predicted
1780885444.787,1,L,645.5,418.4,0.100,predicted
1780885444.787,1,R,401.1,566.1,0.100,predicted
1780885444.820,1,L,645.5,418.4,0.100,predicted
1780885444.820,1,R,401.1,566.1,0.100,predicted
1780885444.854,1,L,645.5,418.4,0.100,predicted
1780885444.854,1,R,401.1,566.1,0.100,predicted
1780885444.901,1,L,645.5,418.4,0.100,predicted
1780885444.901,1,R,401.1,566.1,0.100,predicted
1780885444.945,1,L,645.5,418.4,0.100,predicted
1780885444.945,1,R,401.1,566.1,0.100,predicted
1780885457.667,13,R,328.2,576.0,0.214,low_conf_fused
1780885457.701,13,R,328.2,576.0,0.214,low_conf_fused
1780885457.733,13,R,332.3,576.0,0.199,low_conf_fused
1780885457.766,13,L,480.9,525.2,0.200,low_conf_fused
1780885457.767,13,R,337.3,576.0,0.423,direct
1780885457.804,13,L,480.9,525.2,0.200,low_conf_fused
1780885457.804,13,R,342.8,576.0,0.423,direct
1780885457.840,13,L,480.8,530.3,0.251,low_conf_fused
1780885457.840,13,R,349.0,576.0,0.449,direct
1780885457.888,13,L,480.8,533.8,0.251,low_conf_fused
1780885457.888,13,R,354.1,576.0,0.449,direct
1780885457.934,13,L,482.0,537.5,0.422,direct
1780885457.934,13,R,358.4,576.0,0.503,direct
1780885457.969,13,L,483.1,539.5,0.422,direct
1780885457.969,13,R,360.9,576.0,0.503,direct
1780885458.004,13,L,482.9,539.0,0.652,direct
1780885458.004,13,R,363.7,576.0,0.735,direct
1780885458.042,13,L,482.3,537.3,0.652,direct
1780885458.042,13,R,366.0,576.0,0.735,direct
1780885458.078,13,L,481.9,536.1,0.772,direct
1780885458.078,13,R,370.0,576.0,0.820,direct
1780885458.123,13,L,481.6,536.8,0.837,direct
1780885458.124,13,R,379.6,571.5,0.867,direct
1780885458.172,13,L,481.4,538.6,0.837,direct
1780885458.172,13,R,386.4,567.7,0.867,direct
1780885458.216,13,L,481.1,539.8,0.842,direct
1780885458.216,13,R,392.6,563.3,0.874,direct
1780885458.252,13,L,481.0,540.4,0.842,direct
1780885458.252,13,R,396.2,560.6,0.874,direct
1780885458.293,13,L,481.7,539.5,0.948,direct
1780885458.293,13,R,403.7,554.5,0.963,direct
1780885458.329,13,L,482.3,535.9,0.933,direct
1780885458.329,13,R,410.7,544.9,0.952,direct
1780885458.381,13,L,482.4,532.0,0.933,direct
1780885458.381,13,R,416.7,535.9,0.952,direct
1780885458.422,13,L,482.4,530.5,0.932,direct
1780885458.422,13,R,420.2,531.2,0.950,direct
1780885458.458,13,L,482.4,530.0,0.932,direct
1780885458.458,13,R,422.6,528.2,0.950,direct
