ts,pid,side,x,y,conf,source
1780661705.883,0,R,504.2,461.6,0.990,direct
1780661705.920,0,L,576.7,428.4,0.986,direct
1780661705.920,0,R,503.9,461.6,0.990,direct
1780661705.957,0,L,576.9,428.4,0.986,direct
1780661705.957,0,R,503.8,461.6,0.990,direct
1780661706.005,0,L,576.8,428.5,0.986,direct
1780661706.005,0,R,503.8,461.4,0.990,direct
1780661706.055,0,L,576.7,428.5,0.986,direct
1780661706.055,0,R,503.9,461.3,0.990,direct
1780661706.095,0,L,577.0,428.7,0.987,direct
1780661706.095,0,R,504.2,461.6,0.991,direct
1780661706.133,0,L,577.2,428.9,0.987,direct
1780661706.133,0,R,504.4,461.8,0.991,direct
1780661706.169,0,L,577.2,428.5,0.986,direct
1780661706.169,0,R,504.5,461.8,0.990,direct
1780661706.201,0,L,577.1,428.2,0.986,direct
1780661706.201,0,R,504.6,461.8,0.990,direct
1780661706.238,0,L,576.8,428.1,0.985,direct
1780661706.238,0,R,504.4,461.8,0.989,direct
1780661706.291,0,L,576.9,428.2,0.985,direct
1780661706.291,0,R,504.3,461.5,0.989,direct
1780661706.336,0,L,577.1,428.3,0.985,direct
1780661706.336,0,R,504.1,461.3,0.989,direct
1780661706.382,0,L,577.3,428.3,0.985,direct
1780661706.382,0,R,504.0,461.1,0.989,direct
1780661706.426,0,L,577.2,428.1,0.985,direct
1780661706.426,0,R,504.1,460.8,0.990,direct
1780661706.465,0,L,577.1,427.9,0.985,direct
1780661706.465,0,R,504.2,460.5,0.990,direct
1780661706.498,0,L,576.8,428.3,0.986,direct
1780661706.498,0,R,504.1,460.5,0.990,direct
1780661706.534,0,L,576.5,428.6,0.986,direct
1780661706.534,0,R,503.9,460.5,0.990,direct
1780661706.582,0,L,576.5,428.5,0.986,direct
1780661706.582,0,R,504.2,460.7,0.990,direct
1780661706.634,0,L,576.5,428.4,0.986,direct
1780661706.634,0,R,504.4,460.7,0.990,direct
1780661706.672,0,L,576.8,428.3,0.984,direct
1780661706.672,0,R,504.5,460.2,0.988,direct
1780661706.710,0,L,577.0,428.1,0.984,direct
1780661706.710,0,R,504.6,459.8,0.988,direct
1780661706.750,0,L,577.5,428.4,0.987,direct
1780661706.750,0,R,504.8,459.8,0.990,direct
1780661706.789,0,L,577.9,428.6,0.986,direct
1780661706.789,0,R,504.8,459.7,0.990,direct
1780661706.840,0,L,578.2,429.1,0.985,direct
1780661706.840,0,R,504.8,459.8,0.990,direct
1780661706.886,0,L,578.4,429.5,0.985,direct
1780661706.886,0,R,504.7,459.8,0.990,direct
1780661706.920,0,L,578.5,429.8,0.986,direct
1780661706.920,0,R,504.8,460.0,0.990,direct
1780661706.955,0,L,578.5,430.0,0.986,direct
1780661706.955,0,R,504.8,460.2,0.990,direct
1780661706.990,0,L,578.8,429.8,0.985,direct
1780661706.990,0,R,504.7,460.1,0.989,direct
1780661707.025,0,L,578.9,429.7,0.985,direct
1780661707.025,0,R,504.6,460.0,0.989,direct
1780661707.061,0,L,579.4,429.8,0.984,direct
1780661707.061,0,R,506.8,457.8,0.989,direct
1780661707.094,0,L,579.7,429.9,0.984,direct
1780661707.094,0,R,507.0,457.7,0.989,direct
1780661707.130,0,L,577.5,428.6,0.986,direct
1780661707.130,0,R,505.8,461.9,0.990,direct
1780661707.165,0,L,577.2,428.4,0.986,direct
1780661707.166,0,R,505.8,462.0,0.990,direct
1780661707.211,0,L,580.2,427.7,0.984,direct
1780661707.211,0,R,505.5,457.7,0.989,direct
1780661707.247,0,L,580.7,427.3,0.984,direct
1780661707.247,0,R,505.6,456.5,0.990,direct
1780661707.293,0,L,580.7,427.3,0.984,direct
1780661707.293,0,R,505.6,456.3,0.990,direct
1780661707.339,0,L,580.3,425.8,0.982,direct
1780661707.339,0,R,504.1,459.9,0.987,direct
1780661707.373,0,L,580.1,425.3,0.982,direct
1780661707.373,0,R,504.1,460.1,0.987,direct
1780661707.410,0,L,579.6,425.3,0.986,direct
1780661707.410,0,R,504.9,458.9,0.991,direct
1780661707.443,0,L,579.3,425.3,0.986,direct
1780661707.443,0,R,505.1,458.6,0.991,direct
1780661707.477,0,L,582.3,428.3,0.972,direct
1780661707.477,0,R,505.1,451.9,0.977,direct
1780661707.512,0,L,584.0,428.6,0.976,direct
1780661707.513,0,R,505.7,451.5,0.981,direct
1780661707.558,0,L,584.2,428.6,0.976,direct
1780661707.558,0,R,505.7,451.5,0.981,direct
1780661707.604,0,L,583.4,429.2,0.976,direct
1780661707.604,0,R,505.5,452.1,0.981,direct
1780661707.641,0,L,583.2,429.4,0.976,direct
1780661707.641,0,R,505.4,452.3,0.981,direct
1780661707.677,0,L,583.4,428.9,0.977,direct
1780661707.678,0,R,504.3,452.8,0.982,direct
1780661707.729,0,L,583.4,429.3,0.980,direct
1780661707.729,0,R,503.2,453.1,0.983,direct
1780661707.773,0,L,583.4,429.5,0.980,direct
1780661707.773,0,R,502.7,453.2,0.983,direct
1780661707.823,0,L,583.2,429.3,0.978,direct
1780661707.823,0,R,502.3,453.6,0.983,direct
1780661707.861,0,L,583.0,429.2,0.978,direct
1780661707.861,0,R,502.1,453.9,0.983,direct
1780661707.902,0,L,582.9,428.9,0.980,direct
1780661707.902,0,R,502.3,454.3,0.984,direct
1780661707.940,0,L,582.8,428.7,0.980,direct
1780661707.940,0,R,502.4,454.5,0.984,direct
1780661707.976,0,L,582.8,429.3,0.981,direct
1780661707.976,0,R,507.1,460.0,0.985,direct
1780661708.025,0,L,582.6,429.2,0.984,direct
1780661708.025,0,R,510.2,480.2,0.987,direct
1780661708.066,0,L,582.4,429.1,0.984,direct
1780661708.066,0,R,510.3,480.3,0.987,direct
1780661708.104,0,L,582.7,429.1,0.984,direct
1780661708.104,0,R,511.1,490.8,0.987,direct
1780661708.149,0,L,582.9,429.2,0.984,direct
1780661708.150,0,R,511.2,490.9,0.987,direct
1780661708.185,0,L,583.3,429.7,0.984,direct
1780661708.185,0,R,510.5,499.2,0.987,direct
1780661708.228,0,L,583.6,430.1,0.984,direct
1780661708.228,0,R,510.5,499.3,0.987,direct
1780661708.263,0,L,584.2,429.8,0.981,direct
1780661708.263,0,R,511.2,500.9,0.985,direct
1780661708.300,0,L,584.5,430.0,0.973,direct
1780661708.300,0,R,511.0,500.0,0.978,direct
1780661708.338,0,L,584.7,430.2,0.973,direct
1780661708.338,0,R,511.0,499.6,0.978,direct
1780661708.382,0,L,584.2,430.1,0.983,direct
1780661708.382,0,R,512.2,509.6,0.990,direct
1780661708.419,0,L,583.8,430.1,0.983,direct
1780661708.419,0,R,512.2,509.7,0.990,direct
1780661708.465,0,L,584.6,426.1,0.973,direct
1780661708.465,0,R,509.8,496.3,0.979,direct
1780661708.512,0,L,584.7,425.9,0.973,direct
